quite,nonnegative,notice,study,modulo,bottom,show,lead,live,positive,
31.3725490196,30.3571428571,27.7777777778,26.9230769231,26.4957264957,26.4150943396,26.2626262626,25.0,25.0,24.5535714286,
remove,contains,color,edge,i1,path,road,minimal,goal,whole,
6.17283950617,5.95238095238,5.88235294118,5.82524271845,5.45454545455,4.62962962963,4.44444444444,4.41176470588,3.7037037037,3.44827586207,
