roads,cities,graph,road,connected,edges,edge,city,path,v,
52.5423728814,48.0769230769,46.1538461538,43.8596491228,41.9047619048,35.0877192982,33.9622641509,32.2580645161,30.1075268817,27.027027027,
less,example,long,count,digits,element,beginning,consecutive,let,positions,
2.77777777778,2.72727272727,2.40963855422,2.10526315789,1.6393442623,1.61290322581,1.53846153846,0.0,0.0,0.0,
