"2909","nikhil30","India","Kolkata","False","c++","9094.2 ","3115.99 ","1351.67 ","1081 / 744","278 / 121","3849 / 2953",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2910","harshsri","India","New Delhi","True","c++","11821.8 ","2542.76 ","2042.93 ","224 / 106","769 / 455","668 / 453",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2911","rjtrajat","India","Varanasi","True","c++","4258.56 ","1725.77 ","1545.89 ","6850 / 5356","2928 / 2050","2298 / 1717",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2912","aman935","India","Mandi","True","c++","2691.21 ","530.82 ","487.96 ","12311 / 9561","25830 / 21529","18883 / 16516",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2913","kaustavray17","India","New Delhi","True","c++","3697.04 ","732.14 ","884.27 ","8336 / 6512","20093 / 16297","11830 / 9928",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2914","melegy",,,"False","python","4012.04 ","0 ","0 ","7468 / 17","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2915","jeetmody1995",,,"True","c++","-613.47 ","0 ","0 ","59447 / 47385","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2916","ranjith1610",,,"True","c++","3221.51 ","1873.02 ","0 ","9929 / 7736","2296 / 1580","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2917","vaibhav0808","India","Mangaluru","True","c++","9828.96 ","2412.99 ","2156.37 ","751 / 495","936 / 564","491 / 313",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2918","vishalsharma","India","Kashipur","True","c++","5685.53 ","2319.96 ","1092.17 ","4137 / 3164","1114 / 696","7412 / 5987",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2919","xrisk","India","Kolkata","True","c++","3898.24 ","858.44 ","1095.02 ","7776 / 6084","16751 / 13318","79 / 16",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2920","saurabh8c","India","Hyderabad","False","c++","687.11 ","1252.97 ","919.33 ","36253 / 27954","7366 / 5485","11021 / 9184",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2921","sumpahpemuda","Indonesia","Republic of Indonesia","False","c++","2450.51 ","1106.73 ","1458.84 ","13592 / 51","9812 / 40","2914 / 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2922","mancoolgunda","India","Bengaluru","True","c++","-1643.07 ","571.72 ","0 ","71373 / 58154","24760 / 20541","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2923","ks_dharanish",,,"True","c++","-62.2 ","889.78 ","1057.32 ","50446 / 39686","15413 / 12143","8048 / 6537",NULL,NULL,NULL,NULL,NULL,NULL,NULL
