KNN
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,0,6,995,261,0.0,0.0,0.0,0.211568938193,0.00473175424012,0.211568938193,0.162075768345
graph,0,0,1148,114,invalid,invalid,invalid,0.0903328050713,0.0
tree,32,16,1170,44,0.666666666667,0.421052631579,0.516129032258,0.0475435816165,0.0365882143153,0.0475435816165,0.00869497514824
combinatorics,0,0,1197,65,invalid,invalid,invalid,0.0515055467512,0.0
math,0,1,995,266,0.0,0.0,0.0,0.211568938193,0.000791765140232,0.211568938193,0.166015757445
dp,40,32,951,239,0.555555555556,0.143369175627,0.22792022792,0.214738510301,0.0537973332396,0.214738510301,0.114828549255
HYPERSKLEARN
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,0,0,997,265,invalid,invalid,invalid,0.209984152139,0.0
graph,0,0,1150,112,invalid,invalid,invalid,0.0887480190174,0.0
tree,35,16,1163,48,0.686274509804,0.421686746988,0.522388059701,0.0507131537242,0.0387789110435,0.0507131537242,0.00936241872007
combinatorics,0,0,1209,53,invalid,invalid,invalid,0.0419968304279,0.0
math,14,24,952,272,0.368421052632,0.048951048951,0.0864197530864,0.234548335975,0.0292042666158,0.234548335975,0.15033114745
dp,24,33,941,264,0.421052631579,0.0833333333333,0.139130434783,0.235340729002,0.0431263986176,0.235340729002,0.136829071657
