KNN
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,12,22,979,249,0.352941176471,0.0459770114943,0.0813559322034,0.341521394612,0.0324290927539,0.184057052298,0.0349910965665
graph,27,27,1121,87,0.5,0.236842105263,0.321428571429,0.167670364501,0.0259027880681,0.0821553090333,0.0281391698333
tree,28,11,1164,59,0.717948717949,0.32183908046,0.444444444444,0.0660855784469,0.0243604973867,0.0457369255151,0.0170091244497
combinatorics,5,9,1189,59,0.357142857143,0.078125,0.128205128205,0.0757527733756,0.011988416746,0.0467828843106,0.0290559848905
math,12,32,959,259,0.272727272727,0.0442804428044,0.0761904761905,0.278129952456,0.0348272181354,0.19616481775,0.0839813291608
dp,37,69,923,233,0.349056603774,0.137037037037,0.196808510638,0.325990491284,0.0329444872803,0.187797147385,0.0485828596975
SVM
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,15,15,967,265,0.5,0.0535714285714,0.0967741935484,0.327709127369,0.00794214258959,0.170310649582,0.0549752348315
graph,2,7,1144,109,0.222222222222,0.018018018018,0.0333333333333,0.15663626793,0.00409676147868,0.0745870000374,0.0459553181278
tree,32,32,1158,40,0.5,0.444444444444,0.470588235294,0.0882755519087,0.0304426100186,0.0435678701184,0.00533268703508
combinatorics,5,8,1188,61,0.384615384615,0.0757575757576,0.126582278481,0.0830974526942,0.00941765893419,0.0516378719838,0.0353150264054
math,4,7,991,260,0.363636363636,0.0151515151515,0.0290909090909,0.334091421913,0.00287537149307,0.166285565472,0.0517931157832
dp,35,25,957,245,0.583333333333,0.125,0.205882352941,0.329602569406,0.0122414416204,0.166905831913,0.0460265365337
DECISIONTREE
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,27,57,927,251,0.321428571429,0.0971223021583,0.149171270718,0.306709838034,0.0409417420208,0.190706650241,0.0556939834727
graph,33,45,1092,92,0.423076923077,0.264,0.325123152709,0.137894074253,0.0337020818786,0.090513306053,0.0377964484604
tree,40,24,1156,42,0.625,0.487804878049,0.547945205479,0.0717415728761,0.0368324403822,0.0455575937863,0.00357830012529
combinatorics,14,19,1179,50,0.424242424242,0.21875,0.288659793814,0.072064980714,0.0175742747505,0.0480098447826,0.0252422085868
math,16,38,949,259,0.296296296296,0.0581818181818,0.09726443769,0.309112266478,0.0375713057438,0.186460553619,0.0533388545882
dp,60,80,882,240,0.428571428571,0.2,0.272727272727,0.317032150904,0.0586179386511,0.205766367595,0.046639044237
RANDOMFOREST
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,24,48,943,247,0.333333333333,0.0885608856089,0.139941690962,0.313361858678,0.02507617849,0.171084343559,0.0478125105947
graph,22,39,1103,98,0.360655737705,0.183333333333,0.243093922652,0.13920940239,0.0257623371839,0.0823785163474,0.0372369214497
tree,37,14,1166,45,0.725490196078,0.451219512195,0.556390977444,0.0772005220039,0.0270474377795,0.0403757788252,0.00736842044799
combinatorics,10,13,1182,57,0.434782608696,0.149253731343,0.222222222222,0.0734712781767,0.0108576700256,0.0481709978081,0.0319152990656
math,21,36,958,247,0.368421052632,0.0783582089552,0.129230769231,0.31764582834,0.0230390706406,0.17209470168,0.0481567587776
dp,43,74,926,219,0.367521367521,0.164122137405,0.22691292876,0.322232024319,0.0336230105307,0.174735008256,0.0372785202288
NAIVEBAYES
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,184,651,378,49,0.220359281437,0.789699570815,0.34456928839,0.553492303218,0.218332769576,0.547608522838,0.0229220235412
graph,96,670,465,31,0.125326370757,0.755905511811,0.215005599104,0.55516504051,0.237902293065,0.554552901384,0.0084423861148
tree,56,726,455,25,0.0716112531969,0.691358024691,0.129779837775,0.59467060068,0.235410286692,0.59429781753,0.00525440752456
combinatorics,44,721,479,18,0.0575163398693,0.709677419355,0.106408706167,0.58557844691,0.238725666251,0.58557844691,0.00395066317394
math,198,622,390,52,0.241463414634,0.792,0.370093457944,0.505468102804,0.193491188198,0.458626824652,0.00963763350091
dp,108,198,782,174,0.352941176471,0.382978723404,0.367346938776,0.331706833675,0.147707902831,0.269811911149,0.0120745848118
HPKNN
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,0,0,993,269,invalid,invalid,invalid,0.213153724247,0.0
graph,12,16,1117,117,0.428571428571,0.093023255814,0.152866242038,0.105388272583,0.0216947415744,0.105388272583,0.0725868430107
tree,16,12,1164,70,0.571428571429,0.186046511628,0.280701754386,0.0649762282092,0.0216947415744,0.0649762282092,0.0390595764025
combinatorics,3,5,1193,61,0.375,0.046875,0.0833333333333,0.0522979397781,0.00629895946615,0.0522979397781,0.0432639058069
math,17,19,975,251,0.472222222222,0.0634328358209,0.111842105263,0.213946117274,0.0277124077948,0.213946117274,0.140460768383
dp,22,10,980,250,0.6875,0.0808823529412,0.144736842105,0.206022187005,0.024713620872,0.206022187005,0.138863424595
HPSVM
category,tp,fp,tn,fn,precision,recall,fscore,bias,variance,total error,irreducible error
greedy,training or accuracy testing failed
graph,26,46,1105,85,0.361111111111,0.234234234234,0.284153005464,0.103803486529,0.0537973332396,0.103803486529,0.0392309894741
tree,36,37,1151,38,0.493150684932,0.486486486486,0.489795918367,0.0594294770206,0.0544986826937,0.0594294770206,0.00139893158798
combinatorics,training or accuracy testing failed
math,training or accuracy testing failed
dp,44,22,940,256,0.666666666667,0.146666666667,0.24043715847,0.22028526149,0.0495628652731,0.22028526149,0.122196799787
HPRANDOMFOREST
