graph,connect,road,edge,city,path,country,tree,vertex,short,
60.2739726027,55.2631578947,54.4444444444,42.7083333333,39.84375,39.84375,39.0625,37.6237623762,37.2549019608,36.8421052632,
round,array,read,digit,be,divisible,l,figure,substring,test64,
5.55555555556,5.16129032258,5.12820512821,5.12820512821,5.0,4.91803278689,4.61538461538,3.84615384615,3.84615384615,2.7027027027,
