remainder,probability,modulo,quite,nonempty,test4,paint,d,amount,i1,
45.0980392157,43.3962264151,36.4341085271,35.1851851852,34.6153846154,33.3333333333,30.985915493,30.9160305344,30.7692307692,30.1886792453,
easy,coordinate,run,initial,test64,world,check,isnt,test,berland,
10.5263157895,10.5263157895,10.3448275862,10.0,10.0,9.80392156863,9.21052631579,8.92857142857,8.62068965517,8.04597701149,
