modulo,row,large,amount,knows,consisting,n),likes,much,sequence,
20.7207207207,19.298245614,19.2,17.4603174603,16.9014084507,16.4383561644,16.3636363636,15.7303370787,15.7142857143,15.5339805825,
determine,game,cannot,q,smallest,used,whether,would,otherwise,queries,
2.85714285714,2.85714285714,2.7397260274,2.66666666667,1.96078431373,1.92307692308,1.75438596491,1.65289256198,1.53846153846,1.47058823529,
