exists,digits,1097,modulo,integer,see,since,positive,assume,its,
35.4838709677,33.8235294118,33.3333333333,32.3943661972,31.4516129032,30.985915493,30.8823529412,30.625,30.2325581395,30.1886792453,
described,tree,road,edges,strings,roads,cities,connected,graph,letters,
8.04597701149,7.89473684211,7.69230769231,7.69230769231,7.35294117647,7.35294117647,6.77966101695,6.14035087719,5.45454545455,4.1095890411,
