1097,modulo,ways,squares,large,test512,follows,initially,tree,test4,
68.5185185185,51.6129032258,41.7582417582,39.6226415094,37.3831775701,37.2881355932,36.231884058,34.8314606742,34.7222222222,33.9622641509,
whether,year,characters,current,plane,come,system,digits,4,berland,
14.0845070423,13.7254901961,13.3333333333,13.3333333333,13.2352941176,12.962962963,12.8571428571,12.8205128205,11.1111111111,5.6338028169,
