spend,ci,cost,money,adjacent,pay,suppose,high,arbitrary,amount,
31.1475409836,30.7692307692,29.5081967213,29.3333333333,27.027027027,26.9841269841,26.9230769231,26.3157894737,25.8620689655,25.4545454545,
exists,modulo,direction,area,substring,q,chef,h,statement,query,
5.26315789474,5.26315789474,5.10204081633,4.61538461538,4.41176470588,3.92156862745,3.87596899225,3.44827586207,3.27868852459,0.0,
